Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2001","2001","kg/ha","9.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2002","2002","kg/ha","9.4","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2003","2003","kg/ha","9.41","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2004","2004","kg/ha","12.13","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2005","2005","kg/ha","14.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2006","2006","kg/ha","13.76","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2007","2007","kg/ha","15.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2008","2008","kg/ha","19.56","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2009","2009","kg/ha","21.44","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2010","2010","kg/ha","20.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2011","2011","kg/ha","15.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2012","2012","kg/ha","12.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2013","2013","kg/ha","12.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2014","2014","kg/ha","14.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2015","2015","kg/ha","14.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2016","2016","kg/ha","14.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2017","2017","kg/ha","16.45","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2018","2018","kg/ha","16.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2019","2019","kg/ha","15.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2020","2020","kg/ha","18.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2021","2021","kg/ha","15.05","E","Estimated value",""
