Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1999","1999","kg/ha","28.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2000","2000","kg/ha","24.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2001","2001","kg/ha","25.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","23.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","24.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","27.27","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","30.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","32.75","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","32.61","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2008","2008","kg/ha","35.73","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2009","2009","kg/ha","42.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2010","2010","kg/ha","48.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2011","2011","kg/ha","49.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2012","2012","kg/ha","39.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2013","2013","kg/ha","33.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2014","2014","kg/ha","35.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2015","2015","kg/ha","41.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2016","2016","kg/ha","39.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2017","2017","kg/ha","40.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2018","2018","kg/ha","41.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2019","2019","kg/ha","44.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2020","2020","kg/ha","53.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2021","2021","kg/ha","46.58","E","Estimated value",""
